model,prosocial,cond_id,condition,m,q,R,u,e,o,m_lo,m_hi,q_lo,q_hi,R_lo,R_hi,u_lo,u_hi,e_lo,e_hi,m_hw,q_hw,R_hw,u_hw,e_hw,o_hw,full_horizon,below_horizon,n_parent_runs,total_runs
gpt-4o,5,0,no-contract,12.0,1.0,317.8,0.5493333333333333,0.9935,0.044466666666666675,12.0,12.0,1.0,1.0,288.6666666666667,360.6666666666667,0.5,0.6134666666666667,0.9888666666666667,0.9979999999999999,0.0,0.0,36.0,0.056733333333333365,0.004566666666666663,0.03333333333333333,15,0,3,15
gpt-4o,5,1,nl,10.4,0.8667,341.0,0.7866,0.984,0.3,7.2,12.0,0.6,1.0,245.6,428.6,0.6688,0.9164,0.972,0.9946,2.4,0.2,91.50000000000001,0.12380000000000002,0.011300000000000032,0.2,4,1,1,5
gpt-4o,5,2,code-law,12.0,1.0,372.06666666666666,0.6496666666666667,0.9868333333333333,0.0667,12.0,12.0,1.0,1.0,316.8666666666666,433.26666666666665,0.5704,0.7376333333333333,0.9756333333333332,0.9952,0.0,0.0,58.20000000000001,0.08361666666666666,0.009783333333333347,0.041666666666666664,15,0,3,15
gpt-4o,5,1,nl,12.0,1.0,413.0,0.6891499999999999,0.9932,0.0333,12.0,12.0,1.0,1.0,320.0,509.0,0.53,0.8383,0.9881,0.9985,0.0,0.0,94.5,0.15415000000000004,0.005200000000000038,0.03335,10,0,2,10
gpt-5.4,0,0,no-contract,4.3,0.3583,146.9,0.85415,0.8592,0.725,2.1,6.5,0.175,0.54165,109.0,182.7,0.75505,0.9533,0.7527999999999999,0.9494499999999999,2.2,0.18332500000000002,36.849999999999994,0.09912499999999999,0.098325,0.18334999999999999,6,14,4,20
gpt-5.4,0,1,nl,1.0,0.0833,100.0,1.0,0.72,1.0,1.0,1.0,0.0833,0.0833,100.0,100.0,1.0,1.0,0.6504,0.7993,0.0,0.0,0.0,0.0,0.07445000000000002,0.0,0,10,2,10
gpt-5.4,0,2,code-law,4.3,0.3583,142.4,0.8615999999999999,0.833,0.73335,2.1,6.5,0.175,0.54165,109.4,175.8,0.7577,0.96555,0.73035,0.8993,2.2,0.18332500000000002,33.2,0.10392500000000002,0.084475,0.18332500000000002,6,14,4,20
gpt-5.4,0,1,nl,1.0,0.0833,100.0,1.0,0.8528,1.0,1.0,1.0,0.0833,0.0833,100.0,100.0,1.0,1.0,0.7776,0.9288,0.0,0.0,0.0,0.0,0.0756,0.0,0,10,2,10
gpt-5.4,1,0,no-contract,4.5,0.375,171.7,0.8874500000000001,0.79445,0.70835,2.3,6.5,0.19165,0.54165,130.5,210.8,0.80945,0.97105,0.6812499999999999,0.8878999999999999,2.1,0.175,40.150000000000006,0.08080000000000001,0.103325,0.154275,6,14,4,20
gpt-5.4,1,1,nl,5.4,0.45,157.6,0.8088,0.7964,0.64165,3.2,6.5,0.26665,0.54165,112.4,191.0,0.744,0.9045000000000001,0.72775,0.8584499999999999,1.65,0.1375,39.3,0.08025000000000002,0.06534999999999999,0.141675,8,10,4,18
